average_frametime_ms,23.951
frame,timestamp_ms,frametime_ms
34,26871,20.000
35,26891,20.000
36,26911,20.000
37,26932,21.000
38,26952,20.000
39,26973,21.000
40,26994,21.000
41,27015,21.000
42,27036,21.000
43,27056,20.000
44,27078,22.000
45,27099,21.000
46,27119,20.000
47,27141,22.000
0,27162,21.000
1,27183,21.000
2,27205,22.000
3,27226,21.000
4,27248,22.000
5,27269,21.000
6,27291,22.000
7,27312,21.000
8,27333,21.000
9,27355,22.000
10,27377,22.000
11,27398,21.000
12,27420,22.000
13,27441,21.000
14,27462,21.000
15,27483,21.000
16,27505,22.000
17,27527,22.000
18,27548,21.000
19,27570,22.000
20,27591,21.000
21,27613,22.000
22,27635,22.000
23,27657,22.000
24,27678,21.000
25,27700,22.000
26,27721,21.000
27,27743,22.000
28,27765,22.000
29,27787,22.000
30,27808,21.000
31,27828,20.000
32,27850,22.000
33,27871,21.000
34,27893,22.000
35,27914,21.000
36,27936,22.000
37,27957,21.000
38,27980,23.000
39,28002,22.000
40,28025,23.000
41,28047,22.000
42,28068,21.000
43,28090,22.000
44,28112,22.000
45,28134,22.000
46,28156,22.000
0,28178,22.000
1,28199,21.000
2,28221,22.000
3,28243,22.000
4,28264,21.000
5,28285,21.000
6,28306,21.000
7,28328,22.000
8,28351,23.000
9,28373,22.000
10,28395,22.000
11,28416,21.000
12,28437,21.000
13,28459,22.000
14,28481,22.000
15,28502,21.000
16,28524,22.000
17,28546,22.000
18,28567,21.000
19,28589,22.000
20,28611,22.000
21,28633,22.000
22,28654,21.000
23,28676,22.000
24,28697,21.000
25,28718,21.000
26,28740,22.000
27,28762,22.000
28,28783,21.000
29,28805,22.000
30,28826,21.000
31,28848,22.000
32,28870,22.000
33,28892,22.000
34,28914,22.000
35,28935,21.000
36,28957,22.000
37,28980,23.000
38,29002,22.000
39,29024,22.000
40,29047,23.000
41,29068,21.000
42,29090,22.000
43,29112,22.000
44,29134,22.000
45,29156,22.000
0,29177,21.000
1,29200,23.000
2,29222,22.000
3,29243,21.000
4,29265,22.000
5,29287,22.000
6,29308,21.000
7,29330,22.000
8,29351,21.000
9,29372,21.000
10,29394,22.000
11,29416,22.000
12,29437,21.000
13,29459,22.000
14,29479,20.000
15,29501,22.000
16,29523,22.000
17,29544,21.000
18,29566,22.000
19,29589,23.000
20,29610,21.000
21,29632,22.000
22,29654,22.000
23,29675,21.000
24,29696,21.000
25,29717,21.000
26,29740,23.000
27,29763,23.000
28,29784,21.000
29,29806,22.000
30,29827,21.000
31,29848,21.000
32,29870,22.000
33,29891,21.000
34,29912,21.000
35,29934,22.000
36,29956,22.000
37,29978,22.000
38,29999,21.000
39,30020,21.000
40,30042,22.000
41,30063,21.000
42,30084,21.000
43,30106,22.000
44,30128,22.000
45,30149,21.000
46,30170,21.000
0,30192,22.000
1,30215,23.000
2,30238,23.000
3,30260,22.000
4,30281,21.000
5,30303,22.000
6,30324,21.000
7,30346,22.000
8,30368,22.000
9,30390,22.000
10,30411,21.000
11,30432,21.000
12,30453,21.000
13,30475,22.000
14,30497,22.000
15,30519,22.000
16,30540,21.000
17,30563,23.000
18,30586,23.000
19,30607,21.000
20,30629,22.000
21,30650,21.000
22,30672,22.000
23,30694,22.000
24,30716,22.000
25,30738,22.000
26,30760,22.000
27,30782,22.000
28,30803,21.000
29,30826,23.000
30,30848,22.000
31,30869,21.000
32,30891,22.000
33,30913,22.000
34,30934,21.000
35,30955,21.000
36,30979,24.000
37,31001,22.000
38,31023,22.000
39,31045,22.000
40,31066,21.000
41,31088,22.000
42,31109,21.000
43,31132,23.000
44,31154,22.000
45,31176,22.000
0,31198,22.000
1,31220,22.000
2,31242,22.000
3,31266,24.000
4,31288,22.000
5,31309,21.000
6,31330,21.000
7,31351,21.000
8,31372,21.000
9,31394,22.000
10,31415,21.000
11,31437,22.000
12,31459,22.000
13,31480,21.000
14,31502,22.000
15,31524,22.000
16,31545,21.000
17,31566,21.000
18,31587,21.000
19,31609,22.000
20,31631,22.000
21,31652,21.000
22,31673,21.000
23,31695,22.000
24,31716,21.000
25,31738,22.000
26,31760,22.000
27,31782,22.000
28,31804,22.000
29,31825,21.000
