average_frametime_ms,8.283
frame,timestamp_ms,frametime_ms
6,10247,8.000
7,10260,13.000
8,10264,4.000
9,10272,8.000
10,10280,8.000
11,10289,9.000
12,10297,8.000
13,10305,8.000
14,10314,9.000
15,10322,8.000
16,10330,8.000
17,10339,9.000
18,10347,8.000
19,10355,8.000
20,10364,9.000
21,10372,8.000
22,10380,8.000
23,10389,9.000
24,10397,8.000
25,10405,8.000
26,10414,9.000
27,10422,8.000
28,10430,8.000
29,10439,9.000
30,10447,8.000
31,10455,8.000
32,10464,9.000
33,10472,8.000
34,10480,8.000
35,10489,9.000
36,10497,8.000
37,10505,8.000
38,10514,9.000
39,10522,8.000
40,10530,8.000
41,10539,9.000
42,10547,8.000
43,10555,8.000
44,10569,14.000
45,10572,3.000
46,10580,8.000
47,10588,8.000
48,10597,9.000
49,10605,8.000
50,10614,9.000
51,10622,8.000
52,10630,8.000
53,10639,9.000
54,10647,8.000
55,10655,8.000
56,10664,9.000
57,10672,8.000
58,10680,8.000
59,10689,9.000
60,10697,8.000
61,10705,8.000
62,10714,9.000
63,10727,13.000
64,10730,3.000
65,10739,9.000
66,10747,8.000
67,10755,8.000
68,10764,9.000
69,10772,8.000
70,10780,8.000
71,10789,9.000
72,10797,8.000
73,10806,9.000
74,10814,8.000
75,10827,13.000
76,10830,3.000
77,10839,9.000
78,10847,8.000
79,10855,8.000
80,10864,9.000
81,10877,13.000
82,10880,3.000
83,10888,8.000
84,10897,9.000
85,10905,8.000
86,10914,9.000
87,10922,8.000
88,10930,8.000
89,10944,14.000
90,10947,3.000
91,10955,8.000
92,10964,9.000
93,10972,8.000
94,10980,8.000
95,10989,9.000
96,10997,8.000
97,11006,9.000
98,11014,8.000
99,11022,8.000
100,11035,13.000
101,11038,3.000
102,11047,9.000
103,11056,9.000
104,11064,8.000
105,11072,8.000
106,11080,8.000
107,11089,9.000
108,11097,8.000
109,11105,8.000
110,11114,9.000
111,11122,8.000
112,11130,8.000
113,11139,9.000
114,11147,8.000
115,11155,8.000
116,11164,9.000
117,11172,8.000
118,11187,15.000
119,11193,6.000
120,11202,9.000
0,11205,3.000
1,11213,8.000
2,11222,9.000
3,11230,8.000
4,11239,9.000
5,11247,8.000
6,11255,8.000
7,11264,9.000
8,11272,8.000
9,11280,8.000
10,11288,8.000
11,11297,9.000
12,11305,8.000
13,11313,8.000
14,11322,9.000
15,11330,8.000
16,11343,13.000
17,11347,4.000
18,11355,8.000
19,11364,9.000
20,11372,8.000
21,11380,8.000
22,11389,9.000
23,11397,8.000
24,11405,8.000
25,11419,14.000
26,11422,3.000
27,11430,8.000
28,11439,9.000
29,11447,8.000
30,11455,8.000
31,11464,9.000
32,11472,8.000
33,11480,8.000
34,11489,9.000
35,11502,13.000
36,11505,3.000
37,11513,8.000
38,11522,9.000
39,11530,8.000
40,11539,9.000
41,11547,8.000
42,11555,8.000
43,11564,9.000
44,11572,8.000
45,11580,8.000
46,11589,9.000
47,11597,8.000
48,11605,8.000
49,11614,9.000
50,11622,8.000
51,11630,8.000
52,11639,9.000
53,11647,8.000
54,11655,8.000
55,11664,9.000
56,11672,8.000
57,11680,8.000
58,11689,9.000
59,11697,8.000
60,11705,8.000
61,11714,9.000
62,11722,8.000
63,11730,8.000
64,11739,9.000
65,11747,8.000
66,11755,8.000
67,11764,9.000
68,11772,8.000
69,11781,9.000
70,11789,8.000
71,11797,8.000
72,11811,14.000
73,11813,2.000
74,11822,9.000
75,11830,8.000
76,11844,14.000
77,11847,3.000
78,11860,13.000
79,11864,4.000
80,11872,8.000
81,11880,8.000
82,11889,9.000
83,11897,8.000
84,11905,8.000
85,11913,8.000
86,11922,9.000
87,11930,8.000
88,11938,8.000
89,11947,9.000
90,11955,8.000
91,11968,13.000
92,11972,4.000
93,11980,8.000
94,11989,9.000
95,11997,8.000
96,12005,8.000
97,12014,9.000
98,12022,8.000
99,12030,8.000
100,12039,9.000
101,12047,8.000
102,12055,8.000
103,12064,9.000
104,12072,8.000
105,12080,8.000
106,12089,9.000
107,12097,8.000
108,12105,8.000
109,12114,9.000
110,12122,8.000
111,12130,8.000
112,12139,9.000
113,12147,8.000
114,12155,8.000
